date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:05	67742/67742	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:46:04%20GMT	https://pharaohsoft.com/custom-application-development/	work/pharaohsoft/pharaohsoft.com/custom-application-development/index.html	(from https://pharaohsoft.com/why-custom-software-development-is-the-right-choice-for-your-business/)
22:46:05	2145/2145	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:05%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Fterms-of-use%2F	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embedffb6.json	(from https://pharaohsoft.com/terms-of-use/)
22:46:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:46:06%20GMT	https://pharaohsoft.com/?p=292	work/pharaohsoft/pharaohsoft.com/index2af5.html	(from https://pharaohsoft.com/terms-of-use/)
22:46:06	2302/2302	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Dec%202023%2020:46:06%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Fterms-of-use%2F&format=xml	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embedfae4	(from https://pharaohsoft.com/terms-of-use/)
22:46:07	6884/6884	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:07%20GMT	https://pharaohsoft.com/wp-json/wp/v2/pages/286	work/pharaohsoft/pharaohsoft.com/wp-json/wp/v2/pages/286.json	(from https://pharaohsoft.com/privacy-policy/)
22:46:08	2155/2155	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:08%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Fprivacy-policy%2F	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embed8cbd.json	(from https://pharaohsoft.com/privacy-policy/)
22:46:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:46:09%20GMT	https://pharaohsoft.com/?p=286	work/pharaohsoft/pharaohsoft.com/index5c97.html	(from https://pharaohsoft.com/privacy-policy/)
22:46:09	2312/2312	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Dec%202023%2020:46:09%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Fprivacy-policy%2F&format=xml	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embede415	(from https://pharaohsoft.com/privacy-policy/)
22:46:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:46:10%20GMT	https://pharaohsoft.com/t	work/pharaohsoft/pharaohsoft.com/t	(from https://pharaohsoft.com/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.7.4)
22:46:12	11080/11080	---MCZ	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:11%20GMT	https://pharaohsoft.com/wp-json/wp/v2/pages/154	work/pharaohsoft/pharaohsoft.com/wp-json/wp/v2/pages/154.json	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
